ID,FaceID,FirstRating,GroupRating,SecondRating,Feedback,Change,Condition
15,50,5,3,6,-2,1,Pre
15,51,2,2,2,0,0,Pre
15,52,4,6,3,2,-1,Pre
15,53,1,4,2,3,1,Pre
15,54,4,4,5,0,1,Pre
15,55,7,5,7,-2,0,Pre
15,56,7,4,8,-3,1,Pre
15,57,6,4,6,-2,0,Pre
15,58,2,2,5,0,3,Pre
15,59,6,3,7,-3,1,Pre
15,6,4,1,2,-3,-2,Pre
15,60,3,0,4,NA,1,Pre
15,61,5,5,6,0,1,Pre
15,62,2,4,2,2,0,Pre
15,63,6,0,7,NA,1,Pre
15,64,1,4,4,3,3,Pre
15,65,5,8,6,3,1,Pre
15,66,3,5,2,2,-1,Pre
15,67,5,7,7,2,2,Pre
15,68,4,6,4,2,0,Pre
15,69,3,1,4,-2,1,Pre
15,7,3,6,6,3,3,Pre
15,70,2,2,6,0,4,Pre
15,71,6,4,4,-2,-2,Pre
15,72,3,6,6,3,3,Pre
15,73,2,2,1,0,-1,Pre
15,74,8,5,8,-3,0,Pre
15,75,5,5,4,0,-1,Pre
15,76,5,0,7,NA,2,Pre
15,77,3,6,5,3,2,Pre
15,78,2,5,1,3,-1,Pre
15,79,7,7,6,0,-1,Pre
15,8,3,6,4,3,1,Pre
15,80,6,4,6,-2,0,Pre
15,81,3,0,2,NA,-1,Pre
15,9,2,5,2,3,0,Pre
16,10,6,0,6,NA,0,Pre
16,11,7,5,6,-2,-1,Pre
16,12,4,7,4,3,0,Pre
16,13,3,5,2,2,-1,Pre
16,14,2,4,3,2,1,Pre
16,15,4,2,4,-2,0,Pre
16,16,4,4,4,0,0,Pre
16,17,4,1,4,-3,0,Pre
16,18,5,2,5,-3,0,Pre
16,19,6,8,4,2,-2,Pre
16,2,3,5,3,2,0,Pre
16,20,7,4,6,-3,-1,Pre
16,21,4,4,3,0,-1,Pre
16,22,2,4,1,2,-1,Pre
16,23,3,5,5,2,2,Pre
16,24,6,3,6,-3,0,Pre
16,25,2,5,4,3,2,Pre
16,26,7,5,7,-2,0,Pre
16,27,3,3,5,0,2,Pre
16,28,5,5,6,0,1,Pre
16,29,6,3,7,-3,1,Pre
16,3,2,0,3,NA,1,Pre
16,30,6,8,5,2,-1,Pre
16,31,4,7,3,3,-1,Pre
16,32,4,0,4,NA,0,Pre
16,33,2,4,2,2,0,Pre
16,34,2,2,4,0,2,Pre
16,35,7,4,6,-3,-1,Pre
16,36,2,5,3,3,1,Pre
16,37,6,0,6,NA,0,Pre
16,38,2,2,2,0,0,Pre
16,39,3,1,3,-2,0,Pre
16,4,6,8,4,2,-2,Pre
16,40,7,7,5,0,-2,Pre
16,41,5,7,5,2,0,Pre
16,42,1,4,1,3,0,Pre
16,43,5,3,5,-2,0,Pre
16,44,4,7,3,3,-1,Pre
16,45,6,4,4,-2,-2,Pre
16,46,3,5,3,2,0,Pre
16,47,7,0,5,NA,-2,Pre
16,48,2,4,3,2,1,Pre
16,49,2,2,2,0,0,Pre
16,5,2,2,5,0,3,Pre
16,50,3,0,5,NA,2,Pre
16,51,2,2,2,0,0,Pre
16,52,2,5,4,3,2,Pre
16,53,4,4,5,0,1,Pre
16,54,6,8,3,2,-3,Pre
16,55,4,1,4,-3,0,Pre
16,56,8,6,7,-2,-1,Pre
16,57,2,2,5,0,3,Pre
16,58,2,5,3,3,1,Pre
16,59,6,8,5,2,-1,Pre
16,6,2,5,3,3,1,Pre
16,60,6,4,3,-2,-3,Pre
16,61,3,0,3,NA,0,Pre
16,62,2,0,2,NA,0,Pre
16,63,4,4,4,0,0,Pre
16,64,2,2,2,0,0,Pre
16,65,4,7,5,3,1,Pre
16,66,3,3,4,0,1,Pre
16,67,5,8,3,3,-2,Pre
16,68,6,4,5,-2,-1,Pre
16,69,4,6,4,2,0,Pre
16,7,4,6,4,2,0,Pre
16,70,6,8,4,2,-2,Pre
16,71,6,0,5,NA,-1,Pre
16,72,4,1,3,-3,-1,Pre
16,73,2,4,3,2,1,Pre
16,74,5,3,5,-2,0,Pre
16,75,3,6,4,3,1,Pre
16,76,5,2,6,-3,1,Pre
16,77,5,5,5,0,0,Pre
16,78,3,5,4,2,1,Pre
16,79,8,6,7,-2,-1,Pre
16,8,4,0,2,NA,-2,Pre
16,80,3,1,2,-2,-1,Pre
16,81,6,4,6,-2,0,Pre
16,9,2,2,3,0,1,Pre
17,10,6,3,5,-3,-1,Pre
17,11,6,0,5,NA,-1,Pre
17,12,5,0,5,NA,0,Pre
17,13,4,6,2,2,-2,Pre
17,14,5,7,5,2,0,Pre
17,15,4,1,4,-3,0,Pre
17,16,5,2,5,-3,0,Pre
17,17,5,5,5,0,0,Pre
17,18,6,6,6,0,0,Pre
17,19,5,8,5,3,0,Pre
17,2,5,0,5,NA,0,Pre
17,20,7,7,5,0,-2,Pre
17,21,5,3,4,-2,-1,Pre
17,22,4,7,3,3,-1,Pre
17,23,5,8,5,3,0,Pre
17,24,3,5,5,2,2,Pre
17,25,5,3,5,-2,0,Pre
17,26,6,6,6,0,0,Pre
17,27,5,5,5,0,0,Pre
